Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,2.970060,2.997060,2.902558,2.902558,2.349932,55057948
2015-02-18,2.920559,2.979060,2.916059,2.956560,2.393652,31801480
2015-02-19,3.006061,3.006061,2.965560,2.992560,2.422798,37002206
2015-02-20,2.988060,2.988060,2.929559,2.938559,2.379078,30158007
2015-02-23,2.866558,2.889058,2.857558,2.875558,2.328072,83954148
2015-02-24,2.898058,2.916059,2.875558,2.911559,2.357219,79967589
2015-02-25,2.992560,2.997060,2.934059,2.943059,2.382722,37755186
2015-02-26,2.974560,2.983560,2.916059,2.916059,2.360862,43176303
2015-02-27,2.826057,2.862058,2.808057,2.830557,2.291639,79117913
2015-03-02,2.853057,2.862058,2.830557,2.853057,2.309855,33613775
2015-03-03,2.857558,2.884558,2.817057,2.875558,2.328072,34813124
2015-03-04,2.839557,2.844057,2.749555,2.754055,2.229703,66896601
2015-03-05,2.659554,2.686554,2.637053,2.659554,2.153194,56594486
2015-03-06,2.700054,2.736055,2.637053,2.637053,2.134977,76618344
2015-03-09,2.704554,2.736055,2.677554,2.704554,2.189626,44435124
2015-03-10,2.619053,2.628053,2.578552,2.587552,2.094901,46268687
2015-03-11,2.628053,2.641553,2.542551,2.632553,2.131334,54817460
2015-03-12,2.664054,2.677554,2.605552,2.646053,2.142263,47213896
2015-03-13,2.542551,2.592052,2.538051,2.551551,2.065754,53059380
2015-03-16,2.610052,2.646053,2.610052,2.637053,2.134977,34268190
2015-03-17,2.677554,2.718055,2.668554,2.718055,2.200557,42064423
2015-03-18,2.659554,2.713555,2.632553,2.713555,2.196914,36300958
2015-03-19,2.808057,2.826057,2.781056,2.803556,2.269779,41096167
2015-03-20,2.821557,2.835057,2.803556,2.808057,2.273423,31735300
2015-03-23,2.862058,2.875558,2.853057,2.862058,2.317143,23152812
2015-03-24,2.790056,2.817057,2.758556,2.772056,2.244277,48542956
2015-03-25,2.794556,2.821557,2.749555,2.781056,2.251563,48376228
2015-03-26,2.695554,2.718055,2.668554,2.709055,2.193270,36735371
2015-03-27,2.637053,2.664054,2.637053,2.646053,2.142263,48072917
2015-03-30,2.686554,2.709055,2.655053,2.704554,2.189626,59565126
2015-03-31,2.704554,2.704554,2.704554,2.704554,2.189626,28805052
2015-04-01,2.601052,2.610052,2.578552,2.610052,2.169183,27955270
2015-04-02,2.628053,2.632553,2.578552,2.578552,2.143004,66300582
2015-04-03,2.560551,2.632553,2.556051,2.628053,2.184144,46371138
2015-04-06,2.655053,2.673054,2.641553,2.668554,2.217804,21577435
2015-04-07,2.632553,2.641553,2.605552,2.623553,2.180404,27255706
2015-04-08,2.650553,2.668554,2.632553,2.659554,2.210324,30788548
2015-04-09,2.650553,2.686554,2.650553,2.668554,2.217804,51373883
2015-04-10,2.650553,2.655053,2.610052,2.623553,2.180404,33220552
2015-04-13,2.619053,2.619053,2.587552,2.605552,2.165443,23220544
2015-04-14,2.569552,2.641553,2.569552,2.632553,2.187884,52712949
2015-04-15,2.605552,2.628053,2.583052,2.583052,2.146744,33821559
2015-04-16,2.623553,2.655053,2.619053,2.646053,2.199103,34595528
2015-04-17,2.668554,2.668554,2.632553,2.659554,2.210324,29547995
2015-04-20,2.650553,2.659554,2.637053,2.655053,2.206583,25463287
2015-04-21,2.659554,2.736055,2.659554,2.731555,2.270163,71604241
2015-04-22,2.745055,2.745055,2.677554,2.682054,2.229023,48627737
2015-04-23,2.682054,2.682054,2.682054,2.682054,2.229023,0
2015-04-24,2.695554,2.754055,2.691054,2.740555,2.277643,35817412
2015-04-27,2.776556,2.826057,2.767556,2.808057,2.333743,44169578
2015-04-28,2.821557,2.826057,2.790056,2.794556,2.322522,29493565
2015-04-29,2.790056,2.817057,2.763056,2.763056,2.296343,57946930
2015-04-30,2.749555,2.754055,2.682054,2.709055,2.251464,49879044
2015-05-01,2.709055,2.709055,2.709055,2.709055,2.251464,0
2015-05-04,2.704554,2.718055,2.682054,2.704554,2.247723,17997476
2015-05-05,2.722555,2.727055,2.677554,2.677554,2.225283,26672802
2015-05-06,2.632553,2.655053,2.596552,2.596552,2.157964,53588138
2015-05-07,2.587552,2.619053,2.587552,2.610052,2.169183,49129953
2015-05-08,2.610052,2.664054,2.587552,2.655053,2.206583,78187859
2015-05-11,2.673054,2.695554,2.668554,2.668554,2.217804,36542909
2015-05-12,2.659554,2.682054,2.646053,2.664054,2.214064,38873870
2015-05-13,2.700054,2.758556,2.695554,2.758556,2.292603,67135627
2015-05-14,2.776556,2.826057,2.776556,2.799056,2.326262,68475896
2015-05-15,2.826057,2.826057,2.781056,2.803556,2.330003,31453119
2015-05-18,2.826057,2.866558,2.826057,2.862058,2.378623,36152243
2015-05-19,2.862058,2.862058,2.862058,2.862058,2.378623,0
2015-05-20,2.794556,2.808057,2.772056,2.776556,2.307563,49376828
2015-05-21,2.799056,2.799056,2.709055,2.718055,2.258943,58966820
2015-05-22,2.682054,2.700054,2.655053,2.668554,2.217804,57095085
2015-05-25,2.614553,2.614553,2.583052,2.583052,2.146744,44593098
2015-05-26,2.628053,2.628053,2.574052,2.574052,2.139264,47677865
2015-05-27,2.569552,2.605552,2.547051,2.592052,2.154224,89956297
2015-05-28,2.596552,2.601052,2.565052,2.565052,2.131785,64732492
2015-05-29,2.574052,2.614553,2.547051,2.547051,2.116824,71831945
2015-06-01,2.520051,2.524551,2.443549,2.443549,2.030805,55028540
2015-06-02,2.470550,2.506550,2.470550,2.493050,2.071944,47435370
2015-06-03,2.511050,2.583052,2.506550,2.578552,2.143004,70093181
2015-06-04,2.506550,2.533551,2.497550,2.506550,2.083164,77472195
2015-06-05,2.529051,2.574052,2.520051,2.560551,2.128044,80071665
2015-06-08,2.353547,2.389548,2.340047,2.367048,1.967225,60119839
2015-06-09,2.416549,2.443549,2.389548,2.394048,1.989665,69618206
2015-06-10,2.443549,2.484050,2.434549,2.484050,2.064465,56242209
2015-06-11,2.479550,2.529051,2.479550,2.511050,2.086904,75329548
2015-06-12,2.511050,2.538051,2.488550,2.538051,2.109344,41068601
2015-06-15,2.484050,2.488550,2.430049,2.430049,2.019585,34376924
2015-06-16,2.475050,2.506550,2.470550,2.470550,2.053245,28966449
2015-06-17,2.524551,2.547051,2.511050,2.538051,2.109344,43666588
2015-06-18,2.574052,2.587552,2.551551,2.551551,2.120564,37532693
2015-06-19,2.565052,2.574052,2.551551,2.560551,2.128044,44445257
2015-06-22,2.596552,2.601052,2.574052,2.592052,2.154224,39817773
2015-06-23,2.569552,2.574052,2.538051,2.565052,2.131785,41939312
2015-06-24,2.596552,2.619053,2.592052,2.601052,2.161704,40949139
2015-06-25,2.605552,2.614553,2.569552,2.574052,2.139264,36917563
2015-06-26,2.601052,2.632553,2.601052,2.610052,2.169183,38099410
2015-06-29,2.592052,2.619053,2.560551,2.569552,2.135524,34414145
2015-06-30,2.578552,2.583052,2.524551,2.538051,2.109344,58511249
2015-07-01,2.569552,2.574052,2.502050,2.524551,2.098124,62304910
2015-07-02,2.502050,2.542551,2.484050,2.542551,2.113084,54340927
2015-07-03,2.529051,2.529051,2.497550,2.497550,2.075684,25944746
2015-07-06,2.520051,2.569552,2.520051,2.565052,2.131785,43253206
2015-07-07,2.565052,2.569552,2.511050,2.511050,2.086904,41766254
2015-07-08,2.502050,2.506550,2.457049,2.470550,2.053245,46911662
2015-07-09,2.511050,2.556051,2.511050,2.542551,2.113084,43707339
2015-07-10,2.592052,2.605552,2.569552,2.574052,2.139264,27634496
2015-07-13,2.601052,2.610052,2.583052,2.596552,2.157964,36230813
2015-07-14,2.623553,2.623553,2.574052,2.583052,2.146744,41035028
2015-07-15,2.578552,2.596552,2.556051,2.569552,2.135524,28945456
2015-07-16,2.574052,2.583052,2.551551,2.556051,2.124304,28358544
2015-07-17,2.556051,2.556051,2.556051,2.556051,2.124304,0
2015-07-20,2.484050,2.497550,2.466050,2.475050,2.056985,47279613
2015-07-21,2.466050,2.475050,2.434549,2.452549,2.038284,71193736
2015-07-22,2.430049,2.452549,2.421049,2.439049,2.027065,31890688
2015-07-23,2.421049,2.425549,2.331047,2.340047,1.944785,48977474
2015-07-24,2.349047,2.385048,2.344547,2.362547,1.963485,27120658
2015-07-27,2.340047,2.340047,2.308546,2.322047,1.929826,33538112
2015-07-28,2.362547,2.371548,2.331047,2.335547,1.941046,42933817
2015-07-29,2.340047,2.398548,2.340047,2.398548,1.993405,51556042
2015-07-30,2.398548,2.412048,2.376048,2.376048,1.974705,40956321
2015-07-31,2.403048,2.430049,2.398548,2.430049,2.019585,47869025
2015-08-03,2.412048,2.421049,2.367048,2.371548,1.970966,40713982
2015-08-04,2.376048,2.385048,2.331047,2.358047,1.959745,38134123
2015-08-05,2.340047,2.371548,2.335547,2.349047,1.952265,31345694
2015-08-06,2.371548,2.407548,2.362547,2.398548,1.993405,46125776
2015-08-07,2.389548,2.394048,2.362547,2.376048,1.974705,46110985
2015-08-10,2.331047,2.344547,2.304046,2.340047,1.944785,54034525
2015-08-11,2.389548,2.403048,2.380548,2.398548,1.993405,51828183
2015-08-12,2.349047,2.358047,2.322047,2.331047,1.937306,37086711
2015-08-13,2.295046,2.313046,2.254545,2.299546,1.911126,56033506
2015-08-14,2.295046,2.335547,2.281546,2.308546,1.918605,43632074
2015-08-17,2.281546,2.313046,2.254545,2.295046,1.907386,56542376
2015-08-18,2.259045,2.263545,2.232045,2.232045,1.855026,37117835
2015-08-19,2.236545,2.245545,2.209544,2.223045,1.847547,33248009
2015-08-20,2.173544,2.209544,2.155543,2.187044,1.817626,77006449
2015-08-21,2.173544,2.191544,2.164543,2.169044,1.802667,31951246
2015-08-24,2.133043,2.133043,2.034041,2.088042,1.735347,79659093
2015-08-25,2.160043,2.182544,2.155543,2.178044,1.810147,41417007
2015-08-26,2.164543,2.200544,2.164543,2.182544,1.813886,37305489
2015-08-27,2.214044,2.218545,2.196044,2.196044,1.825106,31379798
2015-08-28,2.187044,2.187044,2.160043,2.187044,1.817626,21854289
2015-08-31,2.191544,2.205044,2.182544,2.191544,1.821366,25242449
2015-09-01,2.164543,2.173544,2.142043,2.169044,1.802667,46935958
2015-09-02,2.164543,2.187044,2.160043,2.169044,1.802667,20513459
2015-09-03,2.155543,2.164543,2.137543,2.164543,1.798926,34304718
2015-09-04,2.142043,2.164543,2.128543,2.133043,1.772747,32875781
2015-09-07,2.092542,2.097042,2.074542,2.088042,1.735347,23715209
2015-09-08,2.088042,2.101542,2.074542,2.083542,1.731607,42819812
2015-09-09,2.088042,2.088042,2.074542,2.083542,1.731607,35155639
